epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,640.87,1.28097,1.50883,1.06157,0.22062,0.37656,0.39332,0.32682,0.83414,2.0382,1.0213,0.000665057,0.000665057,0.000665057
56,652.427,1.32891,1.51766,1.03783,0.22164,0.39231,0.36719,0.30082,0.86708,2.00926,1.02437,0.000650909,0.000650909,0.000650909
57,664.028,1.22318,1.46772,1.02293,0.22164,0.39231,0.36719,0.30082,0.86708,2.00926,1.02437,0.000636762,0.000636762,0.000636762
58,675.864,1.23626,1.44975,1.03229,0.22249,0.40501,0.37023,0.28813,0.94103,1.96637,1.03755,0.000622615,0.000622615,0.000622615
59,688.084,1.26161,1.46788,1.05946,0.23992,0.41802,0.38359,0.29793,0.98804,1.91298,1.05222,0.000608468,0.000608468,0.000608468
60,700.027,1.19642,1.37512,1.02426,0.30085,0.56205,0.40249,0.31829,0.9678,1.86812,1.05182,0.000594321,0.000594321,0.000594321
61,711.966,1.17919,1.39927,1.03068,0.30085,0.56205,0.40249,0.31829,0.9678,1.86812,1.05182,0.000580174,0.000580174,0.000580174
62,723.855,1.2006,1.39489,1.04049,0.30456,0.57143,0.42918,0.35161,0.92567,1.80752,1.04042,0.000566027,0.000566027,0.000566027
63,735.687,1.16079,1.39851,1.02769,0.31177,0.57143,0.43639,0.35941,0.92749,1.77608,1.02355,0.00055188,0.00055188,0.00055188
64,747.38,1.24306,1.38874,1.02738,0.30531,0.57143,0.42654,0.34541,0.97487,1.87324,1.02873,0.000537733,0.000537733,0.000537733
65,759.066,1.11461,1.37952,1.03473,0.30531,0.57143,0.42654,0.34541,0.97487,1.87324,1.02873,0.000523586,0.000523586,0.000523586
66,771.057,1.09594,1.29014,1.01301,0.32924,0.46644,0.47417,0.38665,1.00349,2.00468,1.03786,0.000509438,0.000509438,0.000509438
